codigo,material,categoria
395,SILLA ESTRIBO Ø90 C7,Estribos
396,SILLA ESTRIBO Ø100 C3,Estribos
397,SILLA ESTRIBO Ø100 C5,Estribos
398,SILLA ESTRIBO Ø100 C7,Estribos
399,SILLA ESTRIBO Ø125 C3,Estribos
400,SILLA ESTRIBO Ø125 C5,Estribos
401,SILLA ESTRIBO Ø125 C7,Estribos
402,SILLA ESTRIBO Ø150 C3,Estribos
403,SILLA ESTRIBO Ø150 C5,Estribos
404,SILLA ESTRIBO Ø150 C7,Estribos
410,JUNTA GIBAULT TAPON A°C° Ø100mm CLASE 5,Juntas Gibault
472,JUNTAMAS DE H° F° P/CAÑO PVC Ø40mm,Tuberías PVC
473,JUNTAMAS DE H° F° P/CAÑO PVC Ø50mm,Tuberías PVC
474,JUNTAMAS DE H° F° P/CAÑO PVC Ø50mm EXTRALARGA Long: 200mm,Tuberías PVC
475,JUNTAMAS DE H° F° P/CAÑO PVC Ø63mm,Tuberías PVC
476,JUNTAMAS DE H° F° P/CAÑO PVC Ø63mm EXTRALARGA Long: 200mm,Tuberías PVC
477,JUNTAMAS DE H° F° P/CAÑO PVC Ø75mm,Tuberías PVC
478,JUNTAMAS DE H° F° P/CAÑO PVC Ø75mm EXTRALARGA Long: 200mm,Tuberías PVC
479,JUNTAMAS DE H° F° P/CAÑO PVC Ø90mm,Tuberías PVC
480,JUNTAMAS DE H° F° P/CAÑO PVC Ø90mm EXTRALARGA Long: 200mm,Tuberías PVC
481,JUNTAMAS DE H° F° P/CAÑO PVC Ø110mm,Tuberías PVC
482,JUNTAMAS DE H° F° P/CAÑO PVC Ø110mm EXTRALARGA Long: 200mm,Tuberías PVC
483,JUNTAMAS DE H° F° P/CAÑO PVC Ø125mm,Tuberías PVC
484,JUNTAMAS DE H° F° P/CAÑO PVC Ø140mm,Tuberías PVC
485,JUNTAMAS DE H° F° P/CAÑO PVC Ø160mm,Tuberías PVC
486,JUNTAMAS DE H° F° P/CAÑO PVC Ø160mm EXTRALARGA Long: 250mm,Tuberías PVC
487,JUNTAMAS DE H° F° P/CAÑO PVC Ø200mm,Tuberías PVC
488,JUNTAMAS DE H° F° P/CAÑO PVC Ø200mm EXTRALARGA Long: 290mm,Tuberías PVC
489,JUNTAMAS DE H° F° P/CAÑO PVCØ225 mm,Tuberías PVC
490,JUNTAMAS DE H° F° P/CAÑO PVCØ225 mm EXTRALARGA Long: 290mm,Tuberías PVC
491,JUNTAMAS DE H° F° P/CAÑO PVC Ø250mm,Tuberías PVC
492,JUNTAMAS DE H° F° P/CAÑO PVC Ø250mm EXTRALARGA Long: 290mm,Tuberías PVC
493,JUNTAMAS DE H° F° P/CAÑO PVC Ø280mm,Tuberías PVC
494,JUNTAMAS DE H° F° P/CAÑO PVC Ø280mm EXTRALARGA Long: 290mm,Tuberías PVC
495,JUNTAMAS DE H° F° P/CAÑO PVC Ø315mm,Tuberías PVC
496,JUNTAMAS DE H° F° P/CAÑO PVC Ø315mm EXTRALARGA Long: 290mm,Tuberías PVC
497,JUNTAMAS DE H° F° P/CAÑO PVC Ø355mm,Tuberías PVC
498,JUNTAMAS DE H° F° P/CAÑO PVC Ø355mm EXTRALARGA Long: 290mm,Tuberías PVC
499,JUNTAMAS DE H° F° P/CAÑO PVC Ø400 mm,Tuberías PVC
500,JUNTAMAS DE H° F° P/CAÑO PVC Ø400 mm EXTRALARGA Long: 290mm,Tuberías PVC
501,JUNTAMAS DE H° F° P/CAÑO PVC Ø450 mm,Tuberías PVC
502,JUNTAMAS DE H° F° P/CAÑO PVC Ø450 mm EXTRALARGA Long: 330mm,Tuberías PVC
503,JUNTAMAS DE H° F° P/CAÑO PVC Ø500 mm,Tuberías PVC
504,JUNTAMAS DE H° F° P/CAÑO PVC Ø500 mm EXTRALARGA Long: 340mm,Tuberías PVC
505,JUNTAMAS DE H° F° P/CAÑO PVC Ø600 mm,Tuberías PVC
509,JUNTAMAS DE H° F° P/CAÑO PVC Ø800 mm,Tuberías PVC
511,JUNTAMAS DE H° F° P/CAÑO PVC Ø900 mm,Tuberías PVC
514,JUNTAMAS DE H° F° P/CAÑO PRFV Dn:Ø300mm Dext:361mm,Tuberías PVC
515,JUNTAMAS DE H° F° P/CAÑO PRFV Dn:Ø300mm Dext:361mm long: 800mm EXTRALARGA,Tuberías PVC
516,JUNTAMAS DE H° F° P/CAÑO PRFV Dn:Ø400mm Dext:412mm,Tuberías PVC
517,JUNTAMAS DE H° F° P/CAÑO PRFV Dn:Ø500mm Dext:516mm,Tuberías PVC
518,JUNTAMAS DE H° F° P/CAÑO PRFV Dn:Ø600mm Dext:617mm,Tuberías PVC
519,JUNTAMAS DE H° F° P/CAÑO PRFV Dn:Ø700mm Dext:718mm,Tuberías PVC
520,JUNTAMAS DE H° F° P/CAÑO PRFV Dn:Ø800mm Dext:803mm,Tuberías PVC
527,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 50mm Dext:68mm C3 ,Tuberías PVC
528,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 60mm Dext:78mm C3 ,Tuberías PVC
529,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 75mm Dext:93mm C3 ,Tuberías PVC
530,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 100mm Dext:118mm C3 ,Tuberías PVC
531,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 125mm Dext:145mm C3 ,Tuberías PVC
532,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 150mm Dext:170mm C3 ,Tuberías PVC
533,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 175mm Dext:195mm C3 ,Tuberías PVC
534,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 200mm Dext:222mm C3 ,Tuberías PVC
535,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 225mm Dext:247mm C3 ,Tuberías PVC
536,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 250mm Dext:274mm C3 ,Tuberías PVC
537,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 300mm Dext:328mm C3 ,Tuberías PVC
538,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 350mm Dext:382mm C3 ,Tuberías PVC
539,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 400mm Dext:436mm C3 ,Tuberías PVC
540,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 400mm Dext:436mm C3 Long: 800mm EXTRALARGA,Tuberías PVC
541,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 400mm Dext:406mm C3 ESPECIAL ,Tuberías PVC
542,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 450mm Dext:490mm C3 ,Tuberías PVC
543,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 500mm Dext:544mm C3 ,Tuberías PVC
544,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 500mm Dext:508mm C3 ESPECIAL,Tuberías PVC
545,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 600mm Dext:648mm C3 ,Tuberías PVC
546,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 600mm Dext:630mm C3 ESPECIAL ,Tuberías PVC
547,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 700mm Dext:725mm C3 Long: 300mm EXTRALARGA,Tuberías PVC
586,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 50mm Dext:74mm C5,Tuberías PVC
587,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 60mm Dext:84mm C5,Tuberías PVC
588,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 75mm Dext:99mm C5,Tuberías PVC
589,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 100mm Dext:124mm C5,Tuberías PVC
590,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 125mm Dext:149mm C5,Tuberías PVC
591,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 150mm Dext:174mm C5,Tuberías PVC
592,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 175mm Dext:201mm C5,Tuberías PVC
593,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 200mm Dext:230mm C5,Tuberías PVC
594,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 225mm Dext:259mm C5,Tuberías PVC
595,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 250mm Dext:286mm C5,Tuberías PVC
596,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 300mm Dext:344mm C5,Tuberías PVC
597,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 300mm Dext:344mm C5 Long: 450mm EXTRALARGA,Tuberías PVC
598,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 350mm Dext:400mm C5,Tuberías PVC
599,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 400mm Dext:458mm C5,Tuberías PVC
600,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 450mm Dext:516mm C5,Tuberías PVC
601,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 500mm Dext:572mm C5,Tuberías PVC
602,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 500mm Dext:560mm C5 Long: 300mm EXTRALARGA,Tuberías PVC
603,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 500mm Dext:586mm C5 ESPECIAL,Tuberías PVC
604,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 600mm Dext:676mm C5,Tuberías PVC
605,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 600mm Dext:676mm C5 Long: 300mm EXTRALARGA,Tuberías PVC
606,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 700mm Dext:777mm C5 ESPECIAL,Tuberías PVC
607,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 800mm Dext:840mm C5 ESPECIAL,Tuberías PVC
608,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 800mm Dext:889mm C5 Long: 550mm EXTRALARGA,Tuberías PVC
623,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 50mm Dext:79mm C5-7,Tuberías PVC
624,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 60mm Dext:89mm C5-7,Tuberías PVC
625,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 60mm Dext:89mm C5-7 Long: 200mm EXTRALARGA,Tuberías PVC
626,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 75mm Dext:107mm C5-7,Tuberías PVC
627,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 75mm Dext:107mm C5-7 Long: 200mm EXTRALARGA,Tuberías PVC
628,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 100mm Dext:131mm C5-7,Tuberías PVC
629,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 100mm Dext:131mm C5-7 Long: 200mm EXTRALARGA,Tuberías PVC
630,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 125mm Dext:151mm C5-7,Tuberías PVC
631,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 150mm Dext:179mm C5-7,Tuberías PVC
632,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 175mm Dext:211mm C5-7,Tuberías PVC
633,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 200mm Dext:234mm C5-7,Tuberías PVC
634,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 225mm Dext:271mm C5-7,Tuberías PVC
635,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 250mm Dext:290mm C5-7,Tuberías PVC
636,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 300mm Dext:348mm C5-7,Tuberías PVC
637,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 350mm Dext:406mm C5-7,Tuberías PVC
638,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 350mm Dext:405mm C5-7 Long: 450mm EXTRALARGA,Tuberías PVC
639,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 350mm Dext:406mm C5-7 Long: 500mm EXTRALARGA,Tuberías PVC
640,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 350mm Dext:410mm C5-7 Long: 450mm EXTRALARGA,Tuberías PVC
641,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 400mm Dext:464mm C5-7,Tuberías PVC
642,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 400mm Dext:464mm C5-7 Long: 550mm EXTRALARGA,Tuberías PVC
643,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 400mm Dext:477mm C5-7 Long: 550mm EXTRALARGA,Tuberías PVC
644,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 450mm Dext:520mm C5-7,Tuberías PVC
645,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 500mm Dext:578mm C5-7,Tuberías PVC
646,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 600mm Dext:694mm C5-7,Tuberías PVC
647,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 750mm Dext:810mm C5-7 Long: 500mm EXTRALARGA,Tuberías PVC
650,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 125mm Dext:160mm C10,Tuberías PVC
651,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 150mm Dext:184mm C10,Tuberías PVC
